GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
com.capitalone.dashboard:artifactory-artifact-collector,com.capitalone.dashboard,Application,8,0,0,0,3,0,2,0,2,0
com.capitalone.dashboard:artifactory-artifact-collector,com.capitalone.dashboard.collector,DefaultArtifactoryClient,437,963,105,71,49,199,79,43,0,19
com.capitalone.dashboard:artifactory-artifact-collector,com.capitalone.dashboard.collector,ArtifactorySettings,32,13,0,0,14,5,9,4,9,4
com.capitalone.dashboard:artifactory-artifact-collector,com.capitalone.dashboard.collector,ArtifactoryCollectorTask.new Object() {...},19,0,0,0,1,0,1,0,1,0
com.capitalone.dashboard:artifactory-artifact-collector,com.capitalone.dashboard.collector,ArtifactoryCollectorTask,1005,0,87,0,217,0,84,0,40,0
com.capitalone.dashboard:artifactory-artifact-collector,com.capitalone.dashboard.collector,RestOperationsSupplier,18,0,0,0,5,0,2,0,2,0
com.capitalone.dashboard:artifactory-artifact-collector,com.capitalone.dashboard.model,BaseArtifact,0,17,0,0,0,7,0,5,0,5
com.capitalone.dashboard:artifactory-artifact-collector,com.capitalone.dashboard.model,ServerSetting,8,23,0,0,4,9,2,7,2,7
com.capitalone.dashboard:artifactory-artifact-collector,com.capitalone.dashboard.model,ArtifactItem,61,55,14,0,11,13,9,9,2,9
com.capitalone.dashboard:artifactory-artifact-collector,com.capitalone.dashboard.model,ArtifactoryCollectionMode,38,0,0,0,3,0,4,0,4,0
com.capitalone.dashboard:artifactory-artifact-collector,com.capitalone.dashboard.model,RepoAndPattern,7,10,0,0,3,4,2,3,2,3
com.capitalone.dashboard:artifactory-artifact-collector,com.capitalone.dashboard.model,ArtifactoryRepo,53,36,10,0,10,9,8,6,3,6
com.capitalone.dashboard:artifactory-artifact-collector,com.capitalone.dashboard.model,ArtifactoryCollector,94,0,3,0,23,0,5,0,3,0
com.capitalone.dashboard:artifactory-artifact-collector,com.capitalone.dashboard.model,ArtifactoryCollector.new Object() {...},19,0,0,0,1,0,1,0,1,0
com.capitalone.dashboard:artifactory-artifact-collector,com.capitalone.dashboard.util,ArtifactUtil,3,104,4,10,1,30,5,4,1,1
